filename,image_path,mask_path,width,height,channels,polyp_pixels,total_pixels,area_pct,size_bucket,is_clean_binary
cju0qkwl35piu0993l0dewei2.jpg,Data/Kvasir-SEG/images/cju0qkwl35piu0993l0dewei2.jpg,Data/Kvasir-SEG/masks/cju0qkwl35piu0993l0dewei2.jpg,622,529,3,93043,329038,28.2773,Large,False
cju0qoxqj9q6s0835b43399p4.jpg,Data/Kvasir-SEG/images/cju0qoxqj9q6s0835b43399p4.jpg,Data/Kvasir-SEG/masks/cju0qoxqj9q6s0835b43399p4.jpg,1348,1070,3,390295,1442360,27.0595,Large,False
cju0qx73cjw570799j4n5cjze.jpg,Data/Kvasir-SEG/images/cju0qx73cjw570799j4n5cjze.jpg,Data/Kvasir-SEG/masks/cju0qx73cjw570799j4n5cjze.jpg,619,529,3,104400,327451,31.8826,Large,False
cju0roawvklrq0799vmjorwfv.jpg,Data/Kvasir-SEG/images/cju0roawvklrq0799vmjorwfv.jpg,Data/Kvasir-SEG/masks/cju0roawvklrq0799vmjorwfv.jpg,622,528,3,35632,328416,10.8497,Medium,False
cju0rx1idathl0835detmsp84.jpg,Data/Kvasir-SEG/images/cju0rx1idathl0835detmsp84.jpg,Data/Kvasir-SEG/masks/cju0rx1idathl0835detmsp84.jpg,617,528,3,23706,325776,7.2768,Medium,False
cju0s2a9ekvms080138tjjpxr.jpg,Data/Kvasir-SEG/images/cju0s2a9ekvms080138tjjpxr.jpg,Data/Kvasir-SEG/masks/cju0s2a9ekvms080138tjjpxr.jpg,626,547,3,70923,342422,20.7122,Large,False
cju0s690hkp960855tjuaqvv0.jpg,Data/Kvasir-SEG/images/cju0s690hkp960855tjuaqvv0.jpg,Data/Kvasir-SEG/masks/cju0s690hkp960855tjuaqvv0.jpg,621,530,3,12054,329130,3.6624,Small,False
cju0sr5ghl0nd08789uzf1raf.jpg,Data/Kvasir-SEG/images/cju0sr5ghl0nd08789uzf1raf.jpg,Data/Kvasir-SEG/masks/cju0sr5ghl0nd08789uzf1raf.jpg,1214,1019,3,165185,1237066,13.353,Medium,False
cju0sxqiclckk08551ycbwhno.jpg,Data/Kvasir-SEG/images/cju0sxqiclckk08551ycbwhno.jpg,Data/Kvasir-SEG/masks/cju0sxqiclckk08551ycbwhno.jpg,570,531,3,13168,302670,4.3506,Small,False
cju0t4oil7vzk099370nun5h9.jpg,Data/Kvasir-SEG/images/cju0t4oil7vzk099370nun5h9.jpg,Data/Kvasir-SEG/masks/cju0t4oil7vzk099370nun5h9.jpg,622,530,3,112048,329660,33.989,Large,False
cju0tl3uz8blh0993wxvn7ly3.jpg,Data/Kvasir-SEG/images/cju0tl3uz8blh0993wxvn7ly3.jpg,Data/Kvasir-SEG/masks/cju0tl3uz8blh0993wxvn7ly3.jpg,622,529,3,1735,329038,0.5273,Small,False
cju0u2g7pmnux0801vkk47ivj.jpg,Data/Kvasir-SEG/images/cju0u2g7pmnux0801vkk47ivj.jpg,Data/Kvasir-SEG/masks/cju0u2g7pmnux0801vkk47ivj.jpg,611,530,3,94681,323830,29.2379,Large,False
cju0u82z3cuma0835wlxrnrjv.jpg,Data/Kvasir-SEG/images/cju0u82z3cuma0835wlxrnrjv.jpg,Data/Kvasir-SEG/masks/cju0u82z3cuma0835wlxrnrjv.jpg,626,546,3,84400,341796,24.6931,Large,False
cju0ue769mxii08019zqgdbxn.jpg,Data/Kvasir-SEG/images/cju0ue769mxii08019zqgdbxn.jpg,Data/Kvasir-SEG/masks/cju0ue769mxii08019zqgdbxn.jpg,626,547,3,16347,342422,4.7739,Small,False
cju0vtox5ain6099360pu62rp.jpg,Data/Kvasir-SEG/images/cju0vtox5ain6099360pu62rp.jpg,Data/Kvasir-SEG/masks/cju0vtox5ain6099360pu62rp.jpg,622,531,3,14713,330282,4.4547,Small,False
cju13cgqmnhwn0988yrainhcp.jpg,Data/Kvasir-SEG/images/cju13cgqmnhwn0988yrainhcp.jpg,Data/Kvasir-SEG/masks/cju13cgqmnhwn0988yrainhcp.jpg,626,546,3,42478,341796,12.4279,Medium,False
cju13fwthn9mq0835gacxgy01.jpg,Data/Kvasir-SEG/images/cju13fwthn9mq0835gacxgy01.jpg,Data/Kvasir-SEG/masks/cju13fwthn9mq0835gacxgy01.jpg,623,529,3,45633,329567,13.8463,Medium,False
cju13hp5rnbjx0835bf0jowgx.jpg,Data/Kvasir-SEG/images/cju13hp5rnbjx0835bf0jowgx.jpg,Data/Kvasir-SEG/masks/cju13hp5rnbjx0835bf0jowgx.jpg,622,531,3,35189,330282,10.6542,Medium,False
cju14g8o4xui30878gkgbrvqj.jpg,Data/Kvasir-SEG/images/cju14g8o4xui30878gkgbrvqj.jpg,Data/Kvasir-SEG/masks/cju14g8o4xui30878gkgbrvqj.jpg,622,531,3,8522,330282,2.5802,Small,False
cju14hjh2ob2o0835ouz3r5aa.jpg,Data/Kvasir-SEG/images/cju14hjh2ob2o0835ouz3r5aa.jpg,Data/Kvasir-SEG/masks/cju14hjh2ob2o0835ouz3r5aa.jpg,609,546,3,41722,332514,12.5474,Medium,False
cju14pxbaoksp0835qzorx6g6.jpg,Data/Kvasir-SEG/images/cju14pxbaoksp0835qzorx6g6.jpg,Data/Kvasir-SEG/masks/cju14pxbaoksp0835qzorx6g6.jpg,622,530,3,23659,329660,7.1768,Medium,False
cju15czxqp3lv0835jvhgzurz.jpg,Data/Kvasir-SEG/images/cju15czxqp3lv0835jvhgzurz.jpg,Data/Kvasir-SEG/masks/cju15czxqp3lv0835jvhgzurz.jpg,620,547,3,92581,339140,27.2988,Large,False
cju15jr8jz8sb0855ukmkswkz.jpg,Data/Kvasir-SEG/images/cju15jr8jz8sb0855ukmkswkz.jpg,Data/Kvasir-SEG/masks/cju15jr8jz8sb0855ukmkswkz.jpg,594,528,3,98457,313632,31.3925,Large,False
cju15l5ubz9yh0855b3ivdpse.jpg,Data/Kvasir-SEG/images/cju15l5ubz9yh0855b3ivdpse.jpg,Data/Kvasir-SEG/masks/cju15l5ubz9yh0855b3ivdpse.jpg,626,547,3,11925,342422,3.4825,Small,False
cju15mhjczc8z0801kit5c6di.jpg,Data/Kvasir-SEG/images/cju15mhjczc8z0801kit5c6di.jpg,Data/Kvasir-SEG/masks/cju15mhjczc8z0801kit5c6di.jpg,624,546,3,45888,340704,13.4686,Medium,False
cju15ptjtppz40988odsm9azx.jpg,Data/Kvasir-SEG/images/cju15ptjtppz40988odsm9azx.jpg,Data/Kvasir-SEG/masks/cju15ptjtppz40988odsm9azx.jpg,622,529,3,19574,329038,5.9489,Medium,False
cju15wdt3zla10801odjiw7sy.jpg,Data/Kvasir-SEG/images/cju15wdt3zla10801odjiw7sy.jpg,Data/Kvasir-SEG/masks/cju15wdt3zla10801odjiw7sy.jpg,622,529,3,53819,329038,16.3565,Medium,False
cju160wshltz10993i1gmqxbe.jpg,Data/Kvasir-SEG/images/cju160wshltz10993i1gmqxbe.jpg,Data/Kvasir-SEG/masks/cju160wshltz10993i1gmqxbe.jpg,607,530,3,8532,321710,2.6521,Small,False
cju16ach3m1da0993r1dq3sn2.jpg,Data/Kvasir-SEG/images/cju16ach3m1da0993r1dq3sn2.jpg,Data/Kvasir-SEG/masks/cju16ach3m1da0993r1dq3sn2.jpg,616,528,3,86688,325248,26.6529,Large,False
cju16b6ynq8e40988m8vx0xnj.jpg,Data/Kvasir-SEG/images/cju16b6ynq8e40988m8vx0xnj.jpg,Data/Kvasir-SEG/masks/cju16b6ynq8e40988m8vx0xnj.jpg,571,530,3,5578,302630,1.8432,Small,False
cju16d65tzw9d0799ouslsw25.jpg,Data/Kvasir-SEG/images/cju16d65tzw9d0799ouslsw25.jpg,Data/Kvasir-SEG/masks/cju16d65tzw9d0799ouslsw25.jpg,481,530,3,11911,254930,4.6723,Small,False
cju16fpvhzypl0799p9phnlx6.jpg,Data/Kvasir-SEG/images/cju16fpvhzypl0799p9phnlx6.jpg,Data/Kvasir-SEG/masks/cju16fpvhzypl0799p9phnlx6.jpg,626,546,3,36123,341796,10.5686,Medium,False
