epoch,train_loss,train_dice,val_loss,val_dice,val_iou,lr,epoch_time_sec
1,1.2782971000671386,0.3807735282182694,1.1066020679473878,0.4983437824249268,0.36274182319641113,5e-05,14.791254043579102
2,0.9121202075481415,0.6336961895227432,0.7112250185012817,0.725797381401062,0.6045587921142578,0.00019999999999999998,12.882516384124756
3,0.6781998586654663,0.7198192465305329,0.5259723806381226,0.8014738035202026,0.6981833577156067,0.00034999999999999994,12.730681896209717
4,0.5183393174409866,0.7764801025390625,0.3632709872722626,0.8453857183456421,0.7567973589897156,0.0005,12.67079496383667
5,0.44370184481143954,0.7969474041461945,0.3715202224254608,0.8395078539848327,0.7545478057861328,0.0004991011733913604,12.984132766723633
6,0.3985421705245972,0.8112769556045533,0.29658750772476195,0.8557746887207032,0.7782097864151001,0.0004964111696317533,12.885950565338135
7,0.3528660613298416,0.8322127068042755,0.28502374827861787,0.8645330619812012,0.7911825942993164,0.000491949370259908,12.669142723083496
8,0.35191737532615663,0.8352410423755646,0.32019497513771056,0.8458025407791138,0.7681334447860718,0.0004857479226425405,13.045695543289185
9,0.33597377330064776,0.8402768111228943,0.2676780664920807,0.869750485420227,0.7994761323928833,0.0004778515083518399,12.688109159469604
10,0.3163521847128868,0.8475840032100678,0.2677101373672485,0.8726122760772705,0.8056454658508301,0.0004683170212337165,12.82863974571228
11,0.3246986126899719,0.8468546092510223,0.2764595907926559,0.8721122598648071,0.8021283483505249,0.0004572131574863387,13.323905944824219
12,0.30009049296379087,0.8569970703125,0.24942391574382783,0.8792612743377686,0.8137165951728821,0.0004446199207024507,13.552849769592285
13,0.2922959157824516,0.8543701088428497,0.23526168942451478,0.8829203963279724,0.8170899391174317,0.0004306280454416539,12.85991644859314
14,0.27460531949996947,0.8687910676002503,0.2970291757583618,0.8583874201774597,0.7935765838623047,0.0004153383434858253,12.824322938919067
15,0.268751922249794,0.8701469767093658,0.2638867449760437,0.8745888042449951,0.8100330305099487,0.00039886097748791956,12.792982339859009
16,0.25032989263534544,0.8804684114456177,0.2388548558950424,0.8865051174163818,0.8233018112182617,0.00038131466724752937,12.822053909301758
17,0.2423838719725609,0.8831154656410217,0.24389018833637238,0.8904489040374756,0.827749137878418,0.0003628258343320095,12.906103610992432
18,0.2323852774500847,0.8914777755737304,0.24253528356552123,0.8809345436096191,0.8113656854629516,0.00034352769120618706,12.95124888420105
19,0.218290973007679,0.8972820246219635,0.24830397129058837,0.887832236289978,0.8264124774932862,0.00032355928143349935,12.847846984863281
20,0.2206064660847187,0.891084531545639,0.21243776142597198,0.8961386966705323,0.8324996042251587,0.00030306447786393383,12.851803302764893
21,0.2323385538160801,0.8877245771884918,0.242125768661499,0.8886852836608887,0.8263202619552612,0.0002821909460268463,13.152341842651367
22,0.22543373554944993,0.8918152523040771,0.20940255701541902,0.8927322125434876,0.8289041757583618,0.0002610890801974391,12.944190979003906
23,0.21571934431791306,0.8936783671379089,0.20505171954631807,0.899565486907959,0.8407146406173706,0.0002399109198025611,12.968868494033813
24,0.2017072233557701,0.899747552871704,0.22126611292362214,0.8992749714851379,0.8388133382797242,0.00021880905397315378,12.79403829574585
25,0.20378614723682403,0.8999473071098327,0.21362568318843841,0.8980145382881165,0.8390474033355713,0.00019793552213606634,12.712350368499756
26,0.18858962565660475,0.90901398062706,0.22077975034713745,0.8944462823867798,0.8342461061477661,0.0001774407185665008,12.963553667068481
27,0.19030040815472604,0.9031686735153198,0.21450456380844116,0.8944284796714783,0.8342586016654968,0.00015747230879381308,12.684123039245605
28,0.18226553618907929,0.9090230464935303,0.21379760265350342,0.9005606794357299,0.8428618884086609,0.00013817416566799052,12.850149869918823
29,0.18759385764598846,0.9063567185401916,0.20929087281227113,0.9002216124534607,0.8414898037910461,0.00011968533275247078,12.829589605331421
30,0.18219303578138352,0.9084038949012756,0.21476151943206787,0.8969765901565552,0.836831784248352,0.00010213902251208054,12.975484848022461
31,0.18860260590910913,0.9072257423400879,0.20833404541015624,0.9019924998283386,0.8411751937866211,8.566165651417476e-05,12.927554845809937
32,0.17409277707338333,0.910911455154419,0.2166124165058136,0.9002644300460816,0.8418111181259156,7.037195455834619e-05,12.813229084014893
33,0.1741618885099888,0.9171461546421051,0.21737297415733337,0.9029773473739624,0.8462781810760498,5.638007929754934e-05,12.947200298309326
34,0.16933314636349678,0.9145226383209228,0.2149939340353012,0.9002654218673706,0.8421570920944214,4.378684251366142e-05,12.979243278503418
35,0.15945137158036232,0.9208145189285278,0.20637391924858092,0.9028645992279053,0.8442899894714355,3.268297876628363e-05,12.710434198379517
36,0.16729438349604606,0.9159668362140656,0.2150963008403778,0.9001628279685974,0.8426664662361145,2.3148491648160185e-05,12.963244676589966
37,0.16104426339268685,0.917804298400879,0.20306891143321992,0.9030031299591065,0.845132007598877,1.52520773574595e-05,13.011676788330078
38,0.1719536466896534,0.9127262544631958,0.1991619610786438,0.9050235795974731,0.8480386447906494,9.050629740092036e-06,12.676324129104614
39,0.15296053394675255,0.9218363416194916,0.20609838902950287,0.9039744234085083,0.8471277260780334,4.588830368246742e-06,13.293258905410767
40,0.16763488546013833,0.9144729113578797,0.20866469502449037,0.9025326633453369,0.845577220916748,1.8988266086396334e-06,12.724339485168457
